Column1,State,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
49,GA,Oconee,21,0,0,1,20,442,35,386,21,0
50,GA,Oglethorpe,40,0,1,3,36,165,35,120,10,1
51,GA,Paulding,185,1,8,21,155,2083,347,1456,280,9
52,GA,Peach,23,0,3,2,18,214,47,147,20,0
53,GA,Pickens,76,0,8,1,67,383,91,253,39,0
54,GA,Pike,19,0,1,4,14,218,32,178,8,0
55,GA,Rockdale,167,5,20,31,111,1319,175,1041,103,
56,GA,Spalding,134,0,3,16,115,810,180,538,92,
57,GA,Talbot,13,0,1,1,11,47,14,28,5,0
58,GA,Twiggs,15,0,2,1,12,99,28,59,12,2
59,GA,Walton,69,1,12,14,42,599,116,408,75,1
60,GA,Whitfield,159,1,11,11,136,1327,358,852,117,
61,GA,Bacon,15,0,1,0,14,163,62,98,3,0
62,GA,Baldwin,259,1,8,6,244,646,123,481,42,1
63,GA,Banks,52,0,8,1,43,395,95,279,21,0
64,GA,Ben Hill,22,0,0,2,20,167,51,99,17,0
65,GA,Berrien,32,0,2,2,28,229,58,161,10,0
66,GA,Bleckley,9,0,3,1,5,109,24,82,3,0
67,GA,Bulloch,38,1,4,7,26,550,107,400,43,0
68,GA,Calhoun,1,0,0,0,1,5,3,2,0,0
69,GA,Candler,9,0,3,1,5,100,28,70,2,0
70,GA,Charlton,21,4,0,0,17,119,52,51,16,0
71,GA,Chattooga,5,0,1,0,4,86,14,70,2,0
72,GA,Clay,10,0,1,0,9,16,1,14,1,0
73,GA,Clinch,10,1,1,0,8,63,29,27,7,0
74,GA,Coffee,93,1,10,4,78,563,165,320,78,3
75,GA,Cook,43,0,0,1,42,133,43,77,13,0
76,GA,Crisp,9,0,2,1,6,370,49,302,19,0
77,GA,Decatur,48,0,5,2,41,246,66,165,15,0
78,GA,Dodge,32,2,2,6,22,178,68,92,18,0
79,GA,Dooly,2,0,0,0,2,94,22,64,8,0
80,GA,Early,12,0,0,0,12,98,39,58,1,0
81,GA,Elbert,19,0,5,3,11,266,68,187,11,0
82,GA,Emanuel,1,1,0,0,0,216,48,145,23,0
83,GA,Evans,8,0,0,0,8,33,8,15,10,0
84,GA,Fannin,23,1,4,2,16,204,56,125,23,5
85,GA,Gilmer,66,0,8,1,57,382,110,239,33,0
86,GA,Glascock,3,0,0,1,2,28,6,20,2,0
87,GA,Grady,40,0,2,0,38,180,48,111,21,0
88,GA,Greene,10,1,2,0,7,112,21,85,6,0
89,GA,Habersham,27,0,7,1,19,324,134,164,26,0
90,GA,Hancock,12,0,0,2,10,88,31,53,4,0
91,GA,Irwin,8,0,1,1,6,119,22,84,13,
92,GA,Jeff Davis,16,0,0,0,16,115,28,77,10,0
93,GA,Jefferson,32,0,3,0,29,80,26,49,5,0
94,GA,Laurens,92,1,11,10,70,547,146,339,62,0
95,GA,Mitchell,35,0,1,1,33,246,46,179,21,0
96,GA,Pierce,37,1,3,1,32,247,68,175,4,0
97,GA,Polk,0,0,0,0,0,0,0,0,0,0
99,GA,Pulaski,61,2,0,4,55,226,68,147,11,0
100,GA,Rabun,14,0,1,2,11,210,51,154,5,0
101,GA,Randolph,3,0,0,0,3,29,11,16,2,0
102,GA,Schley,4,1,0,0,3,11,2,8,1,2
103,GA,Seminole,10,1,1,0,8,64,13,48,3,1
104,GA,Stephens,15,0,4,2,9,280,84,188,8,
105,GA,Sumter,30,1,4,1,24,179,55,111,13,0
106,GA,Taylor,7,0,0,0,7,47,21,24,2,0
107,GA,Thomas,45,0,6,9,30,463,117,305,41,4
108,GA,Toombs,12,0,0,1,11,140,44,77,19,0
109,GA,Towns,35,0,2,0,33,148,33,108,7,0
110,GA,Treutlen,8,0,1,4,3,42,20,22,0,
111,GA,Troup,65,0,6,11,48,602,115,409,78,
112,GA,Turner,1,0,0,0,1,46,23,17,6,
113,GA,Union,14,0,3,0,11,239,49,161,29,1
114,GA,Upson,22,0,1,2,19,303,48,223,32,
115,GA,Ware,93,0,2,3,88,625,133,462,30,
116,GA,Warren,2,0,1,1,0,32,6,18,8,
117,GA,Wayne,135,1,10,9,115,730,171,531,28,0
118,GA,Webster,2,0,0,0,2,1,1,0,0,0
119,GA,White,28,1,2,0,25,118,32,81,5,0
120,GA,Wilkes,23,1,0,1,21,18,10,5,3,0
121,GA,Wilkinson,9,0,0,1,8,40,17,20,3,2
